name;age;sex;marital-status;occupation;lat;lon
*;[55, 60[;Male;Married-civ-spouse;Prof-specialty;51.*****;4.*****
*;[55, 60[;Male;Married-civ-spouse;Other-service;50.*****;5.*****
*;[45, 50[;Male;Married-civ-spouse;Farming-fishing;51.*****;3.*****
*;[30, 35[;Male;Never-married;Machine-op-inspct;51.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Transport-moving;50.*****;3.*****
*;[35, 40[;Male;Divorced;Other-service;50.*****;5.*****
*;[45, 50[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;3.*****
*;[30, 35[;Male;Divorced;Craft-repair;50.*****;4.*****
*;[25, 30[;Male;Never-married;Transport-moving;50.*****;3.*****
*;[60, 65[;Male;Married-civ-spouse;Farming-fishing;50.*****;5.*****
*;[25, 30[;Male;Married-civ-spouse;Handlers-cleaners;51.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Other-service;50.*****;5.*****
*;[40, 45[;Female;Married-civ-spouse;Adm-clerical;50.*****;4.*****
*;*;*;*;Sales;*;*
*;[30, 35[;Female;Never-married;Prof-specialty;51.*****;3.*****
*;[25, 30[;Female;Never-married;Adm-clerical;51.*****;3.*****
*;[30, 35[;Male;Married-civ-spouse;Transport-moving;51.*****;3.*****
*;[35, 40[;Female;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[20, 25[;Female;Never-married;Other-service;51.*****;3.*****
*;[15, 20[;Male;Never-married;Other-service;50.*****;4.*****
*;[45, 50[;Male;Married-civ-spouse;Prof-specialty;51.*****;3.*****
*;[60, 65[;Male;Married-civ-spouse;Farming-fishing;51.*****;4.*****
*;[45, 50[;Female;Divorced;Sales;51.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Adm-clerical;50.*****;5.*****
*;[50, 55[;Male;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Prof-specialty;50.*****;5.*****
*;[40, 45[;Male;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Exec-managerial;50.*****;4.*****
*;[35, 40[;Male;Divorced;Sales;51.*****;4.*****
*;[15, 20[;Female;Never-married;Sales;50.*****;4.*****
*;[25, 30[;Female;Never-married;Adm-clerical;50.*****;4.*****
*;*;*;*;Prof-specialty;*;*
*;[45, 50[;Female;Divorced;Prof-specialty;50.*****;4.*****
*;[60, 65[;Male;Never-married;Craft-repair;50.*****;3.*****
*;[35, 40[;Male;Never-married;Prof-specialty;51.*****;4.*****
*;[40, 45[;Female;Married-civ-spouse;Adm-clerical;51.*****;4.*****
*;[20, 25[;Male;Never-married;Sales;50.*****;3.*****
*;[25, 30[;Male;Divorced;Craft-repair;50.*****;3.*****
*;[35, 40[;Male;Divorced;Machine-op-inspct;51.*****;3.*****
*;*;*;*;Other-service;*;*
*;[35, 40[;Male;Married-civ-spouse;Prof-specialty;50.*****;5.*****
*;[40, 45[;Female;Separated;Other-service;51.*****;5.*****
*;[20, 25[;Female;Never-married;Craft-repair;50.*****;4.*****
*;[25, 30[;Male;Never-married;Machine-op-inspct;51.*****;5.*****
*;[40, 45[;Male;Married-civ-spouse;Exec-managerial;51.*****;5.*****
*;[70, 75[;Male;Married-civ-spouse;Handlers-cleaners;51.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Exec-managerial;50.*****;4.*****
*;[20, 25[;Female;Never-married;Adm-clerical;50.*****;3.*****
*;[35, 40[;Female;Never-married;Exec-managerial;50.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Sales;51.*****;5.*****
*;[45, 50[;Male;Married-spouse-absent;Adm-clerical;51.*****;4.*****
*;[25, 30[;Male;Never-married;Machine-op-inspct;49.*****;5.*****
*;[20, 25[;Male;Never-married;Handlers-cleaners;50.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[20, 25[;Female;Married-civ-spouse;Other-service;50.*****;3.*****
*;[20, 25[;Male;Never-married;Craft-repair;50.*****;5.*****
*;[15, 20[;Female;Never-married;Sales;50.*****;4.*****
*;[35, 40[;Male;Separated;Exec-managerial;51.*****;4.*****
*;[20, 25[;Female;Never-married;Other-service;50.*****;4.*****
*;[20, 25[;Male;Married-spouse-absent;Handlers-cleaners;50.*****;5.*****
*;[35, 40[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;[15, 20[;Male;Never-married;Adm-clerical;50.*****;4.*****
*;[50, 55[;Female;Divorced;Adm-clerical;50.*****;5.*****
*;[35, 40[;Male;Divorced;Other-service;51.*****;3.*****
*;[20, 25[;Male;Never-married;Craft-repair;51.*****;4.*****
*;[20, 25[;Female;Never-married;Tech-support;50.*****;5.*****
*;[25, 30[;Female;Never-married;Exec-managerial;50.*****;3.*****
*;[20, 25[;Male;Never-married;Prof-specialty;50.*****;4.*****
*;[65, 70[;Male;Married-civ-spouse;Craft-repair;50.*****;3.*****
*;[40, 45[;Male;Married-civ-spouse;Exec-managerial;51.*****;5.*****
*;[30, 35[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Exec-managerial;51.*****;4.*****
*;[50, 55[;Female;Married-civ-spouse;Prof-specialty;50.*****;5.*****
*;[40, 45[;Male;Never-married;Machine-op-inspct;50.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Exec-managerial;50.*****;4.*****
*;[40, 45[;Male;Divorced;Farming-fishing;50.*****;4.*****
*;[30, 35[;Male;Never-married;Other-service;50.*****;5.*****
*;[30, 35[;Male;Married-civ-spouse;Exec-managerial;51.*****;4.*****
*;[35, 40[;Male;Never-married;Craft-repair;50.*****;5.*****
*;[50, 55[;Female;Divorced;Sales;50.*****;3.*****
*;[35, 40[;Female;Married-civ-spouse;Exec-managerial;51.*****;4.*****
*;[20, 25[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[40, 45[;Female;Separated;Prof-specialty;51.*****;5.*****
*;[30, 35[;Male;Never-married;Transport-moving;51.*****;4.*****
*;[45, 50[;Male;Married-civ-spouse;Other-service;50.*****;4.*****
*;[25, 30[;Female;Never-married;Prof-specialty;51.*****;4.*****
*;[45, 50[;Female;Divorced;Machine-op-inspct;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Sales;51.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Machine-op-inspct;51.*****;4.*****
*;[35, 40[;Female;Never-married;Craft-repair;50.*****;5.*****
*;[15, 20[;Female;Never-married;Priv-house-serv;50.*****;3.*****
*;[20, 25[;Female;Never-married;Prof-specialty;51.*****;4.*****
*;[65, 70[;Female;Widowed;Machine-op-inspct;51.*****;4.*****
*;[55, 60[;Female;Never-married;Handlers-cleaners;50.*****;3.*****
*;[25, 30[;Female;Married-civ-spouse;Tech-support;50.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Prof-specialty;51.*****;3.*****
*;[15, 20[;Female;Never-married;Sales;50.*****;4.*****
*;[60, 65[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;[50, 55[;Female;Never-married;Prof-specialty;51.*****;3.*****
*;[25, 30[;Male;Divorced;Farming-fishing;51.*****;3.*****
*;[20, 25[;Male;Never-married;Protective-serv;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Transport-moving;50.*****;3.*****
*;[20, 25[;Male;Never-married;Adm-clerical;50.*****;3.*****
*;[25, 30[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[65, 70[;Male;Married-civ-spouse;Transport-moving;51.*****;4.*****
*;[25, 30[;Male;Never-married;Protective-serv;51.*****;4.*****
*;[15, 20[;Female;Never-married;Sales;50.*****;2.*****
*;[20, 25[;Male;Never-married;Craft-repair;50.*****;3.*****
*;[30, 35[;Male;Married-civ-spouse;Transport-moving;50.*****;5.*****
*;[35, 40[;Female;Divorced;Other-service;50.*****;4.*****
*;[25, 30[;Male;Never-married;Handlers-cleaners;51.*****;4.*****
*;[50, 55[;Female;Divorced;Craft-repair;50.*****;5.*****
*;[35, 40[;Female;Separated;Prof-specialty;51.*****;4.*****
*;[50, 55[;Female;Divorced;Adm-clerical;51.*****;4.*****
*;[25, 30[;Female;Never-married;Prof-specialty;50.*****;5.*****
*;[40, 45[;Female;Never-married;Sales;50.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Handlers-cleaners;51.*****;4.*****
*;*;*;*;Transport-moving;*;*
*;[40, 45[;Male;Never-married;Prof-specialty;50.*****;3.*****
*;[25, 30[;Male;Never-married;Craft-repair;50.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Handlers-cleaners;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Exec-managerial;51.*****;4.*****
*;[55, 60[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Exec-managerial;51.*****;3.*****
*;[45, 50[;Male;Married-civ-spouse;Exec-managerial;51.*****;3.*****
*;[50, 55[;Male;Married-civ-spouse;Prof-specialty;51.*****;3.*****
*;[20, 25[;Male;Never-married;Handlers-cleaners;51.*****;4.*****
*;[25, 30[;Male;Never-married;Handlers-cleaners;50.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Farming-fishing;49.*****;5.*****
*;[25, 30[;Male;Married-civ-spouse;Protective-serv;51.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Machine-op-inspct;51.*****;5.*****
*;[25, 30[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[25, 30[;Male;Never-married;Exec-managerial;50.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Craft-repair;51.*****;5.*****
*;[50, 55[;Male;Married-civ-spouse;Craft-repair;49.*****;5.*****
*;[35, 40[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;[45, 50[;Male;Married-civ-spouse;Exec-managerial;50.*****;5.*****
*;*;*;*;Sales;*;*
*;[20, 25[;Female;Never-married;Adm-clerical;50.*****;3.*****
*;[30, 35[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[30, 35[;Male;Never-married;Prof-specialty;51.*****;4.*****
*;[20, 25[;Female;Never-married;Adm-clerical;51.*****;4.*****
*;[20, 25[;Male;Never-married;Other-service;51.*****;3.*****
*;[35, 40[;Male;Married-civ-spouse;Farming-fishing;50.*****;4.*****
*;*;*;*;Handlers-cleaners;*;*
*;[35, 40[;Male;Divorced;Craft-repair;50.*****;4.*****
*;[15, 20[;Female;Never-married;Other-service;51.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Exec-managerial;51.*****;4.*****
*;[65, 70[;Female;Divorced;Priv-house-serv;50.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Prof-specialty;51.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;3.*****
*;[25, 30[;Female;Never-married;Adm-clerical;50.*****;3.*****
*;[40, 45[;Male;Married-civ-spouse;Exec-managerial;51.*****;4.*****
*;[30, 35[;Female;Divorced;Adm-clerical;50.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Craft-repair;50.*****;3.*****
*;[20, 25[;Male;Never-married;Craft-repair;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Exec-managerial;50.*****;4.*****
*;[15, 20[;Female;Never-married;Sales;50.*****;5.*****
*;[35, 40[;Male;Married-civ-spouse;Farming-fishing;51.*****;4.*****
*;[35, 40[;Male;Divorced;Transport-moving;51.*****;4.*****
*;[40, 45[;Female;Never-married;Adm-clerical;51.*****;4.*****
*;[40, 45[;Male;Never-married;Farming-fishing;51.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Sales;50.*****;5.*****
*;[15, 20[;Male;Never-married;Farming-fishing;50.*****;4.*****
*;[60, 65[;Male;Married-civ-spouse;Prof-specialty;50.*****;3.*****
*;[65, 70[;Male;Married-civ-spouse;Sales;51.*****;3.*****
*;[40, 45[;Male;Married-civ-spouse;Sales;50.*****;5.*****
*;[55, 60[;Male;Divorced;Adm-clerical;51.*****;4.*****
*;[20, 25[;Female;Married-civ-spouse;Exec-managerial;50.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Prof-specialty;50.*****;5.*****
*;[65, 70[;Male;Married-civ-spouse;Adm-clerical;51.*****;5.*****
*;[30, 35[;Male;Never-married;Other-service;50.*****;4.*****
*;[40, 45[;Male;Never-married;Prof-specialty;50.*****;4.*****
*;[35, 40[;Male;Never-married;Sales;50.*****;3.*****
*;[15, 20[;Male;Never-married;Handlers-cleaners;51.*****;3.*****
*;[30, 35[;Male;Married-civ-spouse;Transport-moving;50.*****;3.*****
*;[35, 40[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[20, 25[;Male;Never-married;Handlers-cleaners;50.*****;4.*****
*;[25, 30[;Female;Never-married;Adm-clerical;51.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Machine-op-inspct;51.*****;2.*****
*;[20, 25[;Male;Never-married;Other-service;50.*****;5.*****
*;[40, 45[;Male;Married-civ-spouse;Exec-managerial;51.*****;4.*****
*;[25, 30[;Male;Never-married;Other-service;50.*****;3.*****
*;[20, 25[;Female;Never-married;Sales;51.*****;3.*****
*;[20, 25[;Male;Never-married;Handlers-cleaners;51.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[15, 20[;Female;Never-married;Adm-clerical;50.*****;4.*****
*;[50, 55[;Female;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[30, 35[;Male;Never-married;Transport-moving;50.*****;3.*****
*;[30, 35[;Male;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[20, 25[;Male;Never-married;Farming-fishing;50.*****;4.*****
*;[40, 45[;Male;Never-married;Transport-moving;51.*****;2.*****
*;[20, 25[;Male;Married-civ-spouse;Sales;50.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Sales;49.*****;5.*****
*;[20, 25[;Female;Never-married;Other-service;50.*****;5.*****
*;[35, 40[;Male;Married-civ-spouse;Craft-repair;51.*****;5.*****
*;[25, 30[;Male;Married-civ-spouse;Prof-specialty;51.*****;5.*****
*;[30, 35[;Female;Never-married;Machine-op-inspct;50.*****;4.*****
*;[50, 55[;Female;Divorced;Prof-specialty;50.*****;4.*****
*;[20, 25[;Male;Never-married;Farming-fishing;51.*****;4.*****
*;[30, 35[;Female;Married-civ-spouse;Tech-support;51.*****;4.*****
*;[50, 55[;Male;Divorced;Farming-fishing;51.*****;4.*****
*;[20, 25[;Female;Never-married;Sales;50.*****;5.*****
*;[35, 40[;Male;Married-civ-spouse;Sales;50.*****;3.*****
*;[25, 30[;Female;Never-married;Other-service;51.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Exec-managerial;50.*****;4.*****
*;[60, 65[;Female;Never-married;Exec-managerial;51.*****;4.*****
*;[40, 45[;Male;Married-spouse-absent;Exec-managerial;50.*****;4.*****
*;[55, 60[;Male;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[30, 35[;Male;Divorced;Prof-specialty;50.*****;5.*****
*;[25, 30[;Male;Married-civ-spouse;Handlers-cleaners;50.*****;4.*****
*;[45, 50[;Female;Divorced;Exec-managerial;51.*****;3.*****
*;[25, 30[;Female;Never-married;Prof-specialty;50.*****;4.*****
*;[20, 25[;Male;Never-married;Other-service;50.*****;5.*****
*;[35, 40[;Male;Divorced;Craft-repair;51.*****;3.*****
*;[45, 50[;Male;Married-civ-spouse;Sales;50.*****;3.*****
*;[20, 25[;Male;Never-married;Other-service;51.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Craft-repair;51.*****;5.*****
*;[40, 45[;Female;Married-civ-spouse;Transport-moving;50.*****;3.*****
*;[65, 70[;Male;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[30, 35[;Female;Married-civ-spouse;Adm-clerical;51.*****;3.*****
*;[25, 30[;Male;Divorced;Sales;50.*****;3.*****
*;[35, 40[;Male;Divorced;Prof-specialty;50.*****;5.*****
*;[40, 45[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;5.*****
*;[25, 30[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;3.*****
*;[35, 40[;Male;Never-married;Craft-repair;50.*****;4.*****
*;[25, 30[;Male;Married-civ-spouse;Machine-op-inspct;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Craft-repair;50.*****;4.*****
*;[30, 35[;Female;Never-married;Handlers-cleaners;50.*****;5.*****
*;[75, 80[;Male;Married-civ-spouse;Prof-specialty;50.*****;4.*****
*;[15, 20[;Female;Never-married;Other-service;50.*****;3.*****
*;[65, 70[;Female;Widowed;Other-service;51.*****;3.*****
*;[15, 20[;Male;Never-married;Other-service;51.*****;4.*****
*;[30, 35[;Female;Divorced;Adm-clerical;50.*****;3.*****
*;[35, 40[;Female;Separated;Other-service;50.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Craft-repair;50.*****;3.*****
*;[20, 25[;Female;Never-married;Adm-clerical;50.*****;3.*****
*;[55, 60[;Male;Divorced;Machine-op-inspct;50.*****;5.*****
*;[25, 30[;Female;Never-married;Adm-clerical;51.*****;4.*****
*;[30, 35[;Male;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[45, 50[;Male;Divorced;Farming-fishing;50.*****;4.*****
*;[35, 40[;Male;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[40, 45[;Female;Separated;Other-service;50.*****;3.*****
*;[40, 45[;Female;Divorced;Adm-clerical;51.*****;3.*****
*;[45, 50[;Male;Married-civ-spouse;Machine-op-inspct;51.*****;4.*****
*;[35, 40[;Female;Never-married;Machine-op-inspct;51.*****;5.*****
*;[20, 25[;Male;Never-married;Other-service;50.*****;4.*****
*;[30, 35[;Female;Never-married;Prof-specialty;50.*****;3.*****
*;[20, 25[;Male;Married-civ-spouse;Protective-serv;51.*****;4.*****
*;[25, 30[;Male;Never-married;Exec-managerial;51.*****;4.*****
*;[30, 35[;Female;Never-married;Prof-specialty;51.*****;3.*****
*;[50, 55[;Male;Married-civ-spouse;Exec-managerial;51.*****;3.*****
*;[50, 55[;Male;Married-civ-spouse;Sales;50.*****;5.*****
*;[30, 35[;Male;Never-married;Sales;51.*****;2.*****
*;[30, 35[;Female;Divorced;Machine-op-inspct;50.*****;4.*****
*;[15, 20[;Male;Never-married;Sales;51.*****;4.*****
*;[50, 55[;Male;Married-civ-spouse;Transport-moving;51.*****;4.*****
*;[40, 45[;Male;Married-civ-spouse;Prof-specialty;51.*****;4.*****
*;[30, 35[;Male;Never-married;Sales;50.*****;5.*****
*;[40, 45[;Male;Married-civ-spouse;Craft-repair;51.*****;4.*****
*;[55, 60[;Female;Widowed;Tech-support;50.*****;4.*****
*;[20, 25[;Male;Never-married;Craft-repair;50.*****;5.*****
*;[35, 40[;Male;Married-civ-spouse;Exec-managerial;50.*****;4.*****
*;[25, 30[;Male;Never-married;Sales;51.*****;3.*****
*;[40, 45[;Female;Married-civ-spouse;Exec-managerial;51.*****;5.*****
*;*;*;*;Other-service;*;*
*;[45, 50[;Male;Married-civ-spouse;Craft-repair;50.*****;3.*****
*;[55, 60[;Female;Widowed;Adm-clerical;50.*****;4.*****
*;[30, 35[;Female;Divorced;Sales;50.*****;3.*****
*;[40, 45[;Male;Married-civ-spouse;Prof-specialty;50.*****;3.*****
*;[35, 40[;Male;Married-civ-spouse;Prof-specialty;51.*****;2.*****
*;*;*;*;Priv-house-serv;*;*
*;[40, 45[;Male;Married-civ-spouse;Exec-managerial;50.*****;5.*****
